افریقہ	África
پیسٹ بن	Pastebin
سینٹ-اندول-دے-کلیرگیمورٹ	Saint-Andéol-de-Clerguemort
برلنگٹن، کولوراڈو	Burlington (Colorado)
سینٹ البرٹ، البرٹا	St. Albert
امثولہ مصفوفہ	Norma matricial
ورود مصفوفہ	Matriz de incidência
واشنگٹن، لوزیانا	Washington (Luisiana)
تبراویچ	Tubravić
صوبہ سیستان و بلوچستان	Sistão-Baluchistão
گوکسن	Göksun
اوری متیلا	Orimattila
صد الوزن	Quintal
ایڈسن (ٹاؤن)، نیو یارک	Addison (Nova Iorque)
بوسنیائی	Bosníacos
لیک انگیلیوس، مشی گن	Lake Angelus
سین-پرے-سور-لوئر	Saint-Père-sur-Loire
سینٹ-پلیس، چر	Saint-Palais (Cher)
مشرقی منطقۂ وقت	Zona de Tempo Oriental
فیئرویو، اوکلاہوما	Fairview (Oklahoma)
سینٹ-لگر-لا-مونٹاگنے	Saint-Léger-la-Montagne
جسپر، انڈیانا	Jasper (Indiana)
لا یونیون ضلع، ڈوس دے مایو	La Unión (distrito)
کولمبس، انڈیانا	Columbus (Indiana)
اوورٹن، ٹیکساس	Overton (Texas)
سینٹ-وں -دس-والونس	Saint-Ouën-des-Vallons
جگراو	Jaguarão
اوکووڈ، الینوائے	Oakwood (Illinois)
لاکوسٹ، ٹیکساس	LaCoste
ایرچ، اترپردیش	Erich (Índia)
سین-پیری-دے-بیاف	Saint-Pierre-de-Bœuf
سینٹ-مارٹن-دے-لا-پلیس	Saint-Martin-de-la-Place
ہبلین ول	Hablainville
جسپر، مسوری	Jasper (Missouri)
لانس-این-ویرکورس	Lans-en-Vercors
فہرست ممالک بلحاظ نظام حکومت	Lista de países por sistema de governo
صحار	Sohar
لیک ویو، جارجیا	Lakeview (Geórgia)
لیکسنگٹن، مسیسپی	Lexington (Mississippi)
سنہری برج	Torre del Oro
سین-بیوی-این -ریویرے	Sainte-Beuve-en-Rivière
شمال مغربی اقتصادی علاقہ	Região Econômica do Noroeste
چاریکار	Charikar
بعید تکلمی	Telefonia
ماحولیاتی خطہ	Ecozona
ڈیلارڈ، جارجیا	Dillard (Geórgia)
بلگان (شہر)	Bulgan (cidade)
لاچاکوی ضلع	Lachaqui (distrito)
سیلوان، دیار بکر	Silvan
جویبار	Juybar
سینٹ-ژاں -دو-بوضیت	Saint-Jean-du-Bouzet
جدول مقامات عالمی ثقافتی ورثہ بلحاظ ملک	Tabela de Sítios do Patrimônio Mundial da UNESCO por países
لیک جونالیوسکا، شمالی کیرولینا	Lake Junaluska
ڈوور، مینیسوٹا	Dover (Minnesota)
سین-کروئی-این -جرز	Sainte-Croix-en-Jarez
سینٹ-ہپپولیتے-لے-گراوےروں	Saint-Hippolyte-le-Graveyron
سینٹ-پاردو-اسہاک	Saint-Pardoux-Isaac
لیکیسا	Liquiçá
سینٹ-بنوٹ-سر-لڑے	Saint-Benoît-sur-Loire
سینٹ-برس-لے-نےش	Saint-Bris-le-Vineux
داتچا	Datça
سین-رمے-لہونورے	Saint-Rémy-l'Honoré
سین-پیری-دے-چریننس	Saint-Pierre-de-Chérennes
لا پیلیرینی، ماینی	La Pellerine (Mayenne)
جکوولجے	Jakovlje
مملوک	Mamelucos
سینٹ-لگر، سوائے	Saint-Léger (Saboia)
سینٹ-انگے-یت-ٹورکے	Saint-Ange-et-Torçay
سینٹ-پاردو، ڈےش-سورس	Saint-Pardoux (Deux-Sèvres)
لیک ایلسینوری، کیلیفورنیا	Lake Elsinore
محافظہ طوباس	Tubas Governorate
لا ٹورلانڈری	La Tourlandry
جیگنس	Jaignes
نیاہورورو	Nyahururu
کرسٹل، مینیسوٹا	Crystal (Minnesota)
جنوویک ویلکوپولسکی	Janowiec Wielkopolski
سینٹ-ہونٹ	Saint-Auvent
لا ٹوری دے یسٹیبان ہامبران	La Torre de Esteban Hambrán
لوانگ نامتھا صوبہ	Luang Namtha (província)
پدم شری اعزاز	Padma Shri
لاکھ	Laque
کتھک	Kathak
سینٹ-گوریجن، ووسگس	Saint-Gorgon (Vosges)
حرک	Taxia
استدلال الکائنات (مقالہ ثانی)	Argumento da causa primeira
لا فیویلی، سینی-ماریتائم	La Feuillie (Sena Marítimo)
سینٹ-جلیں -این -قینٹ	Saint-Julien-en-Quint
پکینز کاؤنٹی، الاباما	Condado de Pickens (Alabama)
سینٹ-پررس-لیس-وودس	Saint-Parres-lès-Vaudes
اگر بشرط اگر	Se e somente se
ویٹاسکیون	Wetaskiwin
لا جاگوا دے یبیریکو، کیسار	La Jagua Ibirico
الام، نیپال	Ilam
اور یہودا	Or Yehuda
منیان	Minian
لا مانا کانٹون	La Maná (cantão)
سینٹ-یتروپے	Saint-Eutrope
سینٹ-ڈانس	Saint-Daunès
سینٹرویل، ٹیکساس	Centerville (Texas)
لاشاپیل-گرایلوسی	Lachapelle-Graillouse
رامسر	Ramsar
سین-فوستے	Sainte-Fauste
جمنے ناد ورلکی	Jamné nad Orlicí
كندياں	Kundian
لائمونٹ	Laimont
سینٹ-برتھلمے-دے-بلگاردے	Saint-Barthélemy-de-Bellegarde
سینٹ-گینس-دو-بوس	Saint-Genis-du-Bois
لا سالینا	La Salina
اچھاپورم	Ichchapuram
سین-سویر، دوردوگنے	Saint-Sauveur (Dordonha)
کاملیت کی انجیل	Evangelho da Perfeição
فرینکلن، نیبراسکا	Franklin (Nebraska)
لا بیلی، مسوری	La Belle (Missouri)
ییس ضلع، جاجا	Yauyos (distrito de Jauja)
تکیت نگر	Tikait Nagar
بلوم فیلڈ، مسوری	Bloomfield (Missouri)
سیسل، جارجیا	Cecil (Geórgia)
سفتے ہاربر، فلوریڈا	Safety Harbor
فلزکاری	Indústria metalmecânica
لیک لوٹاوانا، مسوری	Lake Lotawana
جنوب مغربی افریقہ	Sudoeste Africano
لاڈڈونیا، مسوری	Laddonia
لا پلاٹا، مسوری	La Plata (Missouri)
سیلوانیا، جارجیا	Sylvania (Geórgia)
صوبہ الشرقيہ	Ash Sharqiyah
واٹر ٹاؤن، ٹینیسی	Watertown (Tennessee)
لیک سائڈ، مسوری	Lakeside (Missouri)
سینٹ-گرمین-دو-کوربایس	Saint-Germain-du-Corbéis
چارلسٹن، مسوری	Charleston (Missouri)
جیکوس	Jaicós
جلالپورجٹاں	Jalalpur Jattan
ترصولہ	Transceptor
سپرنگفیلڈ، جنوبی ڈکوٹا	Springfield (Dakota do Sul)
ازالۂ رجفان	Desfibrilação
لاناگان، مسوری	Lanagan
لامیٹز	Lametz
فیئرویو، مونٹانا	Fairview (Montana)
جہودوو	Jahodov
Station	Estatina
مارشل، مسوری	Marshall (Missouri)
سیڈل بٹتے، مونٹانا	Saddle Butte
کسلا (ریاست)	Kassala (estado)
اسلام میں مسدومیت	Islão e homossexualidade
سینٹ-ژاں -لے-ےش، اسیری	Saint-Jean-le-Vieux (Isère)
صدر متحدہ عرب امارات	Lista de presidentes dos Emirados Árabes Unidos
کلیولینڈ، مسوری	Cleveland (Missouri)
لا شاپیل-گینیسٹی	La Chapelle-Geneste
رچمنڈ، مسوری	Richmond (Missouri)
مانچسٹر، مسوری	Manchester (Missouri)
میڈیسون، نیبراسکا	Madison (Nebraska)
لاڈوی، مسوری	Ladue
ذمار، یمن	Dhamar
لا شاپیل-ڈو-لو	Chapelle-du-Lou
لا کاپیٹال ڈیپارٹمنٹ، سان لوئس	La Capital (departamento de San Luis)
سین-سویر-مرویلے	Saint-Sauveur-Marville
تسکمبیا، مسوری	Tuscumbia (Missouri)
لا باٹیی-رولانڈ	La Bâtie-Rolland
وارنٹن، مسوری	Warrenton (Missouri)
ڈکٹا فون	Ditafone
سینٹ-اوٹ-لیس-گیسپیرس	Saint-Avit-les-Guespières
مملکت حجاز	Reino do Hejaz
امثولہ (ریاضی)	Norma (matemática)
سینٹ-گرمین-دو-پلائیں	Saint-Germain-du-Plain
پیمبروک	Pembroke College (Cambridge)
سدبا	Sádaba
ایوب سلطان مسجد	Mesquita de Eyüp Sultan
گلین ویل، جارجیا	Glennville
لا روسیل، مسوری	La Russell
سینٹ-جست-ملمونٹ	Saint-Just-Malmont
لا شاپیل-ہیولین	La Chapelle-Heulin
ہیملٹن، مسوری	Hamilton (Missouri)
لائسوڈ	Laissaud
لیک انیتی، مسوری	Lake Annette
جیمز ٹاون، پنسلوانیا	Jamestown (Pensilvânia)
سینٹ-پنتلیوں -دے-لڑکھ	Saint-Pantaléon-de-Larche
لیک اوزارک، مسوری	Lake Ozark
لا ولے نیووے، ساونی-اے-لوئر	La Villeneuve (Saône-et-Loire)
لا شاپیل-ووپیلٹییگنی	Chapelle-Vaupelteigne
آبرن، نیبراسکا	Auburn (Nebraska)
ایڈینا، مینیسوٹا	Edina (Minnesota)
کراؤن پوائنٹ، انڈیانا	Crown Point (Indiana)
لا گینیٹوسی	La Geneytouse
سینٹ-مارس-دو-ڈیزرٹ، مینے	Saint-Mars-du-Désert (Mayenne)
سینٹرویل، مسوری	Centerville (Missouri)
ازابیل آئس	Isabel Ice
لیک وینیباگو، مسوری	Lake Winnebago
پمبروک، جارجیا	Pembroke (Geórgia)
لیک لافائت، مسوری	Lake Lafayette
محافظہ وسطی (عمان)	Al Wusta (região)
ہیملٹن، واشنگٹن	Hamilton (Washington)
بولوس، مینیسوٹا	Bowlus
چغچران	Chaghcharan
سینٹ-آبن-روتوت	Saint-Aubin-Routot
سمرنا، جارجیا	Smyrna (Geórgia)
سینٹ-آبن-دو-پیرن	Saint-Aubin-du-Perron
کرومہ	Krumë
اکلیس	Uclés
ایشلنڈ، مونٹانا	Ashland (Montana)
رالسٹن، نیبراسکا	Ralston (Nebraska)
لیکسنگٹن، نیبراسکا	Lexington (Nebraska)
لا ویسٹا، نیبراسکا	La Vista
کورا جہان آباد	Kora Jahanabad
سات سمندر	Sete mares
ایجنسی، مانتانا	Agency (Montana)
لیک سینٹ لوئس، مسوری	Lake St. Louis (Missouri)
جرائم فلم	Filme policial
جیکسن، مسوری	Jackson (Missouri)
لا مورتی	La Murette
رسمہ	Diagrama
سینٹ-شڑے	Saint-Maxire
سینٹ-ڈینس-سر-لڑے	Saint-Denis-sur-Loire
یتیتے	Yataity del Guairá
اچاکس	Uchaux
سینٹ-کلیمنٹ-لیس-پلکس	Saint-Clément-les-Places
لامیراک	Lamérac
سینٹ-گرمین-سر-ولنے	Saint-Germain-sur-Eaulne
سینٹ-جست-پریس-برودے	Saint-Just-près-Brioude
سینٹ-چیف	Saint-Chef
ایشلنڈ، نیبراسکا	Ashland (Nebraska)
جیمز ٹاون، مسوری	Jamestown (Missouri)
لامی ڈیر، مونٹانا	Lame Deer
شوگر ہل، جارجیا	Sugar Hill (Geórgia)
لیک مونٹیکیلو، ورجینیا	Lake Monticello
رچلینڈ، مسوری	Richland (Missouri)
رچمنڈ، ٹیکساس	Richmond (Texas)
سین-پروجیٹ-سین-کانسٹنٹ	Saint-Projet-Saint-Constant
کولمبس، مونٹانا	Columbus (Montana)
ونچیسٹر، مسوری	Winchester (Missouri)
میڈیسون، میسوری	Madison (Missouri)
ناہنٹا، جارجیا	Nahunta
رورسائیڈ، مسوری	Riverside (Missouri)
سین-روچ، اندرے-یت-لوئر	Saint-Roch
برینڈن، سون-اے-لوآر	Brandon (Saône-et-Loire)
کلیولینڈ، ٹینیسی	Cleveland (Tennessee)
سینٹ-لارنٹ-دو-موتے	Saint-Laurent-du-Mottay
کینٹن، مسوری	Canton (Missouri)
سبرروس	Sabarros
لاتہروپ، مسوری	Lathrop (Missouri)
لا رونڈی، چارینٹی-میری ٹائم	La Ronde (Charente-Maritime)
مورس ٹاؤن	Morristown (Nova Jérsei)
میکس کریک، میسوری	Macks Creek
فتنہ	Fitna
وائٹ ہال، مونٹانا	Whitehall (Montana)
ملٹن، فلوریڈا	Milton (Flórida)
یونکوس	Yuncos
وکٹوریہ، ہانگ کانگ	Cidade de Victoria
یٹن، نیبراسکا	Yutan
سکو، مونٹانا	Saco (Montana)
جمسپورٹ، مسوری	Jamesport (Missouri)
سینٹ-ددئر، الے-یت-ولاینے	Saint-Didier (Ille-et-Vilaine)
سیلے-این -ؤسترایونٹ	Sailly-en-Ostrevent
میکی، نیبراسکا	Macy (Nebraska)
بیورلی ہلز، مسوری	Beverly Hills (Missouri)
راجاپور، مہاراشٹر	Rajapur
کرافورڈ، نیبراسکا	Crawford (Nebraska)
ماچی، اوبی	Machy (Aube)
لیک ووکومیس، مسوری	Lake Waukomis
مارٹن شہر، مونٹانا	Martin City
رینڈولف، نیبراسکا	Randolph (Nebraska)
کلنٹن، مونٹانا	Clinton (Montana)
لا نیوویل-سور-آدےویل	La Neuville-sur-Oudeuil
اینجلینا ارمانی	Angelina Armani
ماچیاس، واشنگٹن	Machias (Washington)
لیسبرگ، جارجیا	Leesburg (Geórgia)
توبرسنت	Tubersent
لیک سائڈ، مونٹانا	Lakeside (Montana)
کیمبرج، نیبراسکا	Cambridge (Nebraska)
سکریون، جارجیا	Screven
سین-پیری-اوز	Saint-Pierre-Avez
بلوم فیلڈ، نیبراسکا	Bloomfield (Nebraska)
میکلاس	Maclas
جگنجیلو	Jagnjilo (Mladenovac)
ڈیٹن، مونٹانا	Dayton (Montana)
لانکیسٹر، مسوری	Lancaster (Missouri)
سینٹ-مارٹن-دس-چمپس، چر	Saint-Martin-des-Champs (Cher)
لاکلیڈ، مسوری	Laclede
ویلنگٹن، مسوری	Wellington (Missouri)
جمسوں، مسوری	Jameson (Missouri)
لاریڈو، مسوری	Laredo (Missouri)
میلفورڈ، نیبراسکا	Milford (Nebraska)
سائنس-لیس-مرقیوں	Sains-lès-Marquion
گرینویل، مسوری	Greenville (Missouri)
پیش ہند ایرانی زبان	Língua protoindo-iraniana
لیکسنگٹن، مسوری	Lexington (Missouri)
آرنلڈ، پنسلوانیا	Arnold (Pensilvânia)
میامی، مسوری	Miami (Missouri)
سپرنگفیلڈ، نیبراسکا	Springfield (Nebraska)
کلیٹن، مسوری	Clayton (Missouri)
ایشلنڈ، مسوری	Ashland (Missouri)
سینٹ-گوندوں	Saint-Gondon
سینٹ-میڈرڈ-سر-الے	Saint-Médard-sur-Ille
ڈوور، مسوری	Dover (Missouri)
چیسٹر، مونٹانا	Chester (Montana)
برجِ سیارچہ	Constelação de satélites
وارسا، مسوری	Warsaw (Missouri)
سینٹ-فلورینٹ، لویریت	Saint-Florent (Loiret)
میکون، میسوری	Macon (Missouri)
سینٹ-گیورگس-دے-ریکس	Saint-Georges-de-Rex
فیئرویو، مسوری	Fairview (Missouri)
فلاشنگ، مشی گن	Flushing (Michigan)
لا ری ریونین، لوٹ-اے-گارونی	La Réunion (Lot-et-Garonne)
زنگیف (اسٹریٹ فائٹر)	Zangief
اوکاڑہ	Okara (Paquistão)
سینٹ-کلیمنٹ-دس-لویس	Saint-Clément-des-Levées
لا گرینج، مسوری	La Grange (Missouri)
لیک ٹاپاوینگو، مسوری	Lake Tapawingo
کنگسٹن، مسوری	Kingston (Missouri)
لاسانا، ٹیکساس	Lasana
مابانک، ٹیکساس	Mabank
لاتروب، پینسلوانیا	Latrobe (Pensilvânia)
آ کانیزا	A Cañiza
رچلینڈ ہلز، ٹیکساس	Richland Hills
لاس پیڈراس، پویرٹو ریکو	Las Piedras (Porto Rico)
لاگونا ہائٹس، ٹیکساس	Laguna Heights
لاسے، واشنگٹن	Lacey (Washington)
بحیرہ ارجنٹائن	Mar Argentino
لاچو	Lachau
سینٹ-کوتانٹ، چارینتے	Saint-Coutant (Charente)
لارنسویل، جارجیا	Lawrenceville (Geórgia)
کنگزلینڈ، ٹیکساس	Kingsland (Texas)
فشل جگری	Insuficiência hepática
لا فیریری-سور-ریسلی	La Ferrière-sur-Risle
لامیسا، ٹیکساس	Lamesa
لیک جیکسن، ٹیکساس	Lake Jackson
لا مارکوی، ٹیکساس	La Marque
لا ویکتوریا، ہسپانیہ	La Victoria (Córdoba)
سگینؤ، ٹیکساس	Saginaw (Texas)
چائنا گرو، ٹیکساس	China Grove (Texas)
اطالیہ میں مذہب	Religião na Itália
لا پورت، ٹیکساس	La Porte (Texas)
سینٹ-گرمین-دو-پچ	Saint-Germain-du-Puch
ابلاغ کے دو مرحلہ بہاؤ کا نظریہ	Two-step flow
سینٹ-مارٹن-چتو	Saint-Martin-Château
جنگ مرج دابق	Batalha de Marj Dabiq
لا شاپیل-ولارس	La Chapelle-Villars
سینٹ-کلیرن	Saint-Célerin
گروہ 15	G15
چیمپئین ٹرافی	ICC Champions Trophy
وارنٹن، ورجینیا	Warrenton (Virgínia)
لا سال، اتاہ	La Sal
یارومال	Yarumal
لیکسنگٹن، جارجیا	Lexington (Geórgia)
سینٹ-اررومن، گرس	Saint-Arroman (Gers)
بیورلی ہلز، ٹیکساس	Beverly Hills (Texas)
شیخوپورہ	Shekhupura
اوکووڈ، ٹیکساس	Oakwood (Texas)
لا شاپیل-تھیکل	La Chapelle-Thècle
لیک پورٹ، ٹیکساس	Lakeport (Texas)
ویبسٹر، ٹیکساس	Webster (Texas)
فہرست جزائر اتحاد القمری	Subdivisões de Comores
لاگوا سالگاڈا	Lagoa Salgada
سینٹ-ژاں -دے-لا-بلاقییرے	Saint-Jean-de-la-Blaquière
سینٹ-گیورگس-انتگناک	Saint-Georges-Antignac
سانتو انتونیو	Santo António (São Tomé e Príncipe)
لا ماسارینا، میتا	La Macarena
سینٹ-کرنیں ، لوٹ	Saint-Cernin (Lot)
لاتولی	Lataule
لیک وے، ٹیکساس	Lakeway
فرینکلن، ٹیکساس	Franklin (Texas)
معالجۂ کیمیائیہ	Quimioterapia
لا گرینج، ٹیکساس	La Grange (Texas)
چیسٹر، ٹیکساس	Chester (Texas)
لا ویرنیا، ٹیکساس	La Vernia
لارگا وسٹا، ٹیکساس	Larga Vista
لاس لوماس، ٹیکساس	Las Lomas (Texas)
لیک ویو، ٹیکساس	Lake View (Texas)
لا پیورتا، ٹیکساس	La Puerta (Texas)
لا گرولا، ٹیکساس	La Grulla
رچلینڈ، ٹیکساس	Richland (Texas)
میزائل	Míssil
میلفورڈ، ٹیکساس	Milford (Texas)
پامر، ٹیکساس	Palmer (Texas)
لا کاسیٹا-گارکیاسولے، ٹیکساس	La Casita-Garciasville
سین-مرے	Sainte-Maure
مقدونیہ، اوہائیو	Macedonia (Ohio)
کیمبل، ٹیکساس	Campbell (Texas)
سلاجقہ روم	Sultanato de Rum
ہیملٹن، ٹیکساس	Hamilton (Texas)
برزیسکو کاؤنٹی	Condado de Brzesko
لانڈیبیا	Landébia
میڈیسونویلی، ٹیکساس	Madisonville (Texas)
کولمبس، ٹیکساس	Columbus (Texas)
اتحاد ملایا	União Malaia
میگنولیا، ٹیکساس	Magnolia (Texas)
سین-قینٹین-دو-دروپٹ	Saint-Quentin-du-Dropt
گرینویل، ٹیکساس	Greenville (Texas)
لانکیسٹر، ٹیکساس	Lancaster (Texas)
ہاڈمیسٹ پیرش	Häädemeeste
رولیٹ، ٹیکساس	Rowlett
وائٹ اوک، ٹیکساس	White Oak (Texas)
سینٹ-مارٹن-لارس-این -سین-حرمینے	Saint-Martin-Lars-en-Sainte-Hermine
بریسوں، ٹیکساس	Bryson (Texas)
سینٹ-کیر-دے-ولورگس	Saint-Cyr-de-Valorges
یورکتوؤن، ٹیکساس	Yorktown (Texas)
سینٹ اینڈریو پریش، گریناڈا	Saint Andrew (Granada)
ایج ہل، جارجیا	Edge Hill
جفرسن ویل، انڈیانا	Jeffersonville (Indiana)
لا پریور، ٹیکساس	La Pryor
لیک ورتھ، ٹیکساس	Lake Worth (Texas)
سینٹ-منویو-بوکگے	Saint-Manvieu-Bocage
لا شاپیل-سور-لویری	Chapelle-sur-Loire
سینٹ-لارنٹ-دو-تنکمنٹ	Saint-Laurent-du-Tencement
یزناگا، ٹیکساس	Yznaga
ایتھنز، وسکونسن	Athens (Wisconsin)
